Significant Joint Probabilities with State Descriptions:
  State: VisitAsia: Visit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000132300
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000005700
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0001303400
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000558600
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000026600
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000011400
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0001026000
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0000256500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0019494000
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0004873500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0000085500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0000769500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0001624500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0014620500
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000125685
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000013965
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000002565
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000285
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000228095
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000097755
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000004655
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000001995
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0000564300
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0000141075
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0010721700
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0002680425
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0000164588
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0001481288
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0003127163
  State: VisitAsia: Visit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0028144463
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0002619540
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000291060
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000053460
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000005940
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0001358280
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000582120
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000027720
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000011880
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0023575860
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0002619540
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000481140
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000053460
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0012224520
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0005239080
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000249480
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000106920
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000130977
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000014553
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000002673
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000000297
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0000237699
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0000101871
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000004851
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000002079
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0012966723
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0001440747
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000264627
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000029403
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0023532201
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0010085229
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000480249
  State: VisitAsia: NoVisit, Tuberculosis: Present, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000205821
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0259334460
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0028814940
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0005292540
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000588060
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0134469720
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0057629880
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0002744280
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0001176120
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0105850800
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0026462700
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.2011165200
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0502791300
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0008820900
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0079388100
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0167597100
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: Smoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.1508373900
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0012966723
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0001440747
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000264627
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Present, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000029403
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: True, Probability: 0.0023532201
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Abnormal, Dyspnea: False, Probability: 0.0010085229
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: True, Probability: 0.0000480249
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Present, Bronchitis: Absent, Tb_or_Ca: True, XRay: Normal, Dyspnea: False, Probability: 0.0000205821
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0058217940
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0014554485
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.1106140860
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Present, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.0276535215
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: True, Probability: 0.0016980232
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Abnormal, Dyspnea: False, Probability: 0.0152822092
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: True, Probability: 0.0322624418
  State: VisitAsia: NoVisit, Tuberculosis: Absent, Smoking: NoSmoking, Lung Cancer: Absent, Bronchitis: Absent, Tb_or_Ca: False, XRay: Normal, Dyspnea: False, Probability: 0.2903619758
